id_lokalId;husnummer;jordstykke;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;eta022Kælderareal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status;adgangsadressebetegnelse;antAdresser
00017b47-9e52-4351-bfe3-26edff8caa20;0a3f5087-3a10-32b8-e044-0003ba298018;2116802;510;55;55;;0;1869;;5;1;;POINT(689924.11 6097534.03);5;6;Lergravvej 31, 4760 Vordingborg;1
0006777f-3d89-41f4-8f75-5dd63b4408a5;0a3f5087-3e2a-32b8-e044-0003ba298018;2121027;120;96;134;;0;1914;;2;7;;POINT(689898.08 6099204.46);5;6;Nyraad Hovedgade 94, 4760 Vordingborg;1
000b57f4-a94d-423d-bfc2-3779d820ed72;0a3f5087-3b97-32b8-e044-0003ba298018;2114171;510;82;112;;0;1966;;7;1;;POINT(674677.07 6110933.17);5;6;Måneshøjvej 15, 4750 Lundby;1
000bbf46-a9e6-40f9-a541-b1be7904321a;0a3f5086-69be-32b8-e044-0003ba298018;1317441;219;154;;154;0;1857;;9;;;POINT(693503.61 6110576.2);5;6;Mønvej 31, Skibinge, 4720 Præstø;0
000de108-b4ee-4c9f-842d-b7e5f886edf4;0a3f5086-6bd4-32b8-e044-0003ba298018;1314955;120;142;194;;0;1777;;7;1;;POINT(696529.25 6108149.85);5;6;Rekkende By 1, 4720 Præstø;1
000ecb1d-4670-4d03-86b0-4332e9d7012f;0a3f5085-970d-32b8-e044-0003ba298018;2489199;120;104;104;;0;1984;;7;1;;POINT(709987.28 6099688.25);5;6;Rubinvænget 10, 4780 Stege;1
000f8ec1-309a-4139-acb9-3b0ad1aa8e90;0a3f5087-2f41-32b8-e044-0003ba298018;2112423;322;1344;;1344;0;1983;;9;;;POINT(684549.25 6101389.99);5;6;Gammelsøvej 59, 4760 Vordingborg;1
001009ed-cf67-46e3-83db-3d1df5c4aea1;0a3f5085-649c-32b8-e044-0003ba298018;541509;120;102;102;;0;1962;;2;7;90;POINT(693196.88 6098633.46);5;6;Skånningevej 33, 4773 Stensved;1
001211e4-cb8b-45c5-8283-dce191647a8a;0a3f5087-40c5-32b8-e044-0003ba298018;2112912;210;306;;306;0;1870;;9;;;POINT(686811.04 6102396.95);5;6;Ornebjergvej 63, 4760 Vordingborg;0
0015b89a-487f-46a7-8a1e-a8535f1d7cbe;0a3f5085-a3bb-32b8-e044-0003ba298018;2476700;120;124;196;;0;1887;;5;1;;POINT(695384.26 6091330.44);5;6;Østerskovvej 10, 4793 Bogø By;1
001e41d2-ef05-47af-ae6c-29c3b7a381f5;0a3f5087-33e5-32b8-e044-0003ba298018;2111412;120;133;133;;0;1980;;2;3;;POINT(689423.9 6104023.32);5;6;Høstvej 19, 4760 Vordingborg;1
0029095b-9e9d-4029-a34a-2d39f72dc4fe;0a3f5085-8622-32b8-e044-0003ba298018;2482227;120;84;134;;0;1775;2002;2;3;;POINT(703487.72 6090819.4);5;6;Fanefjordgade 71, Askeby, 4792 Askeby;1
002a7c84-04c9-4669-a5b8-6536d2bf16a8;0a3f5087-40c1-32b8-e044-0003ba298018;2112913;110;225;225;;0;1907;;2;3;;POINT(686884.1 6102433.9);5;6;Ornebjergvej 58, 4760 Vordingborg;1
002d01f5-f2ba-4a03-98de-70502b5f5048;0a3f5085-87a7-32b8-e044-0003ba298018;2493995;510;65;65;;0;1966;;7;1;2;POINT(707198.54 6104828.98);5;6;Fyrrestien 5, Ulvshale, 4780 Stege;1
002d98fb-8568-4b45-8249-c47f9ed1ed5e;0a3f5085-9780-32b8-e044-0003ba298018;2479110;210;120;;120;0;1900;;9;;90;POINT(701311.24 6093700.17);5;6;Røddinge Husrække 3, Røddinge, 4780 Stege;0
0030b85f-785b-42e5-a8e7-36d5f598d9b0;0a3f5087-27b2-32b8-e044-0003ba298018;2118934;120;86;118;;0;1946;;1;;;POINT(685459.11 6100826.34);5;6;Birkealle 59, 4760 Vordingborg;1
00352c7b-0796-4fe0-9730-a90b44c0b7b7;0a3f5085-a21c-32b8-e044-0003ba298018;2476142;212;150;;150;0;1991;;9;;90;POINT(693307.87 6090349.67);5;6;Vesterskovvej 37, 4793 Bogø By;0
0037c5be-64fe-4391-aea4-682e92cb2b57;0a3f5086-6866-32b8-e044-0003ba298018;1314820;212;96;;96;0;1900;;9;;;POINT(693911.91 6109458.97);5;6;Lillemarksvej 2, 4720 Præstø;0
0039e3f8-88ee-40e7-81b2-97b90ef101b7;0a3f5085-a2db-32b8-e044-0003ba298018;2484902;120;155;306;;0;1870;2012;2;3;;POINT(703375.81 6089303.5);5;6;Vollerupgade 32A, Vollerup, 4792 Askeby;1
003b338e-11fa-4a37-90f2-2f42a2add1d1;0a3f5085-6014-32b8-e044-0003ba298018;544029;120;96;111;;0;1936;;2;3;2;POINT(701018.86 6099960.53);5;6;Kirkevejen 13, 4771 Kalvehave;1
003c8325-4707-4cfc-807e-5dd06f40452d;0a3f5085-5db7-32b8-e044-0003ba298018;542502;217;100;;100;0;1950;;9;;;POINT(695188.99 6104927.02);5;6;Gl Præstøvej 35, 4735 Mern;0
003f92e9-cdde-44a9-8c95-367639edc573;0a3f5087-3503-32b8-e044-0003ba298018;2112055;120;102;102;;0;1973;;1;;;POINT(685219.66 6102201.86);5;6;Kastrupvej 14A, 4760 Vordingborg;1
0041a8aa-b82a-4745-9445-7a4edf80dbec;0a3f5086-6238-32b8-e044-0003ba298018;1318719;120;77;77;;62;1940;2018;1;;;POINT(694126.72 6112419.82);5;6;Antonivej 5A, 4720 Præstø;1
0041d7ac-7d0c-40b2-86d1-a584ef20c041;0a3f5085-5fbe-32b8-e044-0003ba298018;541124;120;157;210;;0;1978;2015;7;1;1;POINT(693315.55 6098850.34);5;6;Kastanievej 46, 4773 Stensved;1
0043b3b5-f99b-4dfb-ab33-01367701d40b;0a3f5086-6a34-32b8-e044-0003ba298018;1314675;120;100;100;;0;1940;;2;3;90;POINT(693906.64 6107848.43);5;6;Mønvej 121, 4720 Præstø;1
0046a355-a21f-45b4-85b2-0687ec6ddbdc;0ea84e3c-5110-1cba-e044-0003ba298018;2667384;120;69;118;;0;2007;;1;;90;POINT(693746.75 6112401.12);5;6;Priesesstræde 4, 4720 Præstø;1
0047346f-4d63-4fb8-b697-b7b9308a5564;0a3f5087-2854-32b8-e044-0003ba298018;2112684;510;14;14;;;2002;;7;1;;POINT(680788.85 6105108.59);5;6;Bramgåsvej 10, 4760 Vordingborg;0
00482544-cb90-4468-810a-7585621e48d9;0a3f5085-8b0e-32b8-e044-0003ba298018;2476780;510;64;64;;0;1977;;7;1;;POINT(695784 6090562.63);5;6;Højdedraget 46, 4793 Bogø By;1
0048d8c1-57ed-473e-a7be-8b41b7672976;0a3f5087-3533-32b8-e044-0003ba298018;2117846;120;196;173;;0;1977;1988;1;;;POINT(687292.74 6099684.68);5;6;Keidamsvej 18, 4760 Vordingborg;1
004b2b8c-dbed-43e0-a1a1-315f76011c2a;0a3f5085-658a-32b8-e044-0003ba298018;541651;130;120;166;;18;1872;;2;3;2;POINT(693128.49 6096420.49);5;6;Stensbyvej 51A, Vestenbæk, 4773 Stensved;2
004baec4-3727-44e6-9c9c-f832850fdddf;0a3f5086-65d3-32b8-e044-0003ba298018;1315917;120;93;93;;0;1900;1975;5;1;2;POINT(687863.06 6110339.03);5;6;Hastrupvej 23, 4720 Præstø;1
004c3913-48ef-413b-b87b-0f91e3e0847f;0a3f5087-373f-32b8-e044-0003ba298018;2119412;120;143;143;;0;1964;1985;2;3;;POINT(689179.61 6098924.68);5;6;Kløften 30, 4760 Vordingborg;1
004cd0d0-7fe9-4990-ae7e-36bcafa1b5ff;0a3f5085-8afa-32b8-e044-0003ba298018;2476862;510;52;52;;0;1976;;7;1;;POINT(695701.39 6090538.37);5;6;Højdedraget 18, 4793 Bogø By;1
004f4d16-a8ab-4971-86b6-735ac6a69d7d;0a3f5087-4a7b-32b8-e044-0003ba298018;2114066;110;101;123;;0;1910;2001;7;1;;POINT(679334.45 6108371.8);5;6;Togårdsvej 7, 4750 Lundby;1
004fb8db-acce-417a-847c-968749c45583;0a3f5085-5bb1-32b8-e044-0003ba298018;539763;120;106;106;;7;1952;;2;3;2;POINT(698657.73 6102442.81);5;6;Bakkekammen 1, Balle, 4735 Mern;1
0051735c-36dc-451a-a97d-a24a9f5045e9;0a3f5087-4770-32b8-e044-0003ba298018;2118703;321;52;;52;0;1987;2003;2;3;2;POINT(685030.88 6100964.01);5;6;Stokkedrevet 11, 4760 Vordingborg;0
00523ed1-cc56-4dcd-a97e-3485654096c1;0a3f5087-4531-32b8-e044-0003ba298018;2110495;110;150;190;;0;1830;;5;1;2;POINT(689824.56 6106413.16);5;6;Skallerupvej 36, 4760 Vordingborg;1
0053f63b-65b7-43eb-bc8f-0db93dd9b687;0a3f5087-37e7-32b8-e044-0003ba298018;2115633;217;243;;243;0;1927;;9;;;POINT(680073.27 6106256.31);5;6;Koholtevej 46, 4760 Vordingborg;0
005547da-362f-4642-9f89-7c3140b0d168;0a3f5087-2494-32b8-e044-0003ba298018;2116076;120;112;113;45;0;1800;1924;1;;;POINT(685675.86 6099953.23);5;6;Algade 31, 4760 Vordingborg;1
00560f19-6f1a-4874-ab52-72d8a3a8408e;0a3f5085-6482-32b8-e044-0003ba298018;540918;120;146;146;;0;1968;;2;3;2;POINT(693615.94 6098933.77);5;6;Skyttemarksvej 32, 4773 Stensved;1
0056e4c8-e7ea-4449-85c4-f863f91be3ba;0a3f5087-2d3e-32b8-e044-0003ba298018;2114075;217;1154;;1154;0;2008;;9;;;POINT(678950.76 6107207.23);5;6;Fjordgårdsvej 2, 4750 Lundby;0
00017b47-9e52-4351-bfe3-26edff8caa20;0a3f5087-3a10-32b8-e044-0003ba298018;2116802;510;55;55;;0;1869;;5;1;;POINT(689924.11 6097534.03);5;6;Lergravvej 31, 4760 Vordingborg;1
0006777f-3d89-41f4-8f75-5dd63b4408a5;0a3f5087-3e2a-32b8-e044-0003ba298018;2121027;120;96;134;;0;1914;;2;7;;POINT(689898.08 6099204.46);5;6;Nyraad Hovedgade 94, 4760 Vordingborg;1
000b57f4-a94d-423d-bfc2-3779d820ed72;0a3f5087-3b97-32b8-e044-0003ba298018;2114171;510;82;112;;0;1966;;7;1;;POINT(674677.07 6110933.17);5;6;Måneshøjvej 15, 4750 Lundby;1
000bbf46-a9e6-40f9-a541-b1be7904321a;0a3f5086-69be-32b8-e044-0003ba298018;1317441;219;154;;154;0;1857;;9;;;POINT(693503.61 6110576.2);5;6;Mønvej 31, Skibinge, 4720 Præstø;0
000de108-b4ee-4c9f-842d-b7e5f886edf4;0a3f5086-6bd4-32b8-e044-0003ba298018;1314955;120;142;194;;0;1777;;7;1;;POINT(696529.25 6108149.85);5;6;Rekkende By 1, 4720 Præstø;1
000ecb1d-4670-4d03-86b0-4332e9d7012f;0a3f5085-970d-32b8-e044-0003ba298018;2489199;120;104;104;;0;1984;;7;1;;POINT(709987.28 6099688.25);5;6;Rubinvænget 10, 4780 Stege;1
000f8ec1-309a-4139-acb9-3b0ad1aa8e90;0a3f5087-2f41-32b8-e044-0003ba298018;2112423;322;1344;;1344;0;1983;;9;;;POINT(684549.25 6101389.99);5;6;Gammelsøvej 59, 4760 Vordingborg;1
001009ed-cf67-46e3-83db-3d1df5c4aea1;0a3f5085-649c-32b8-e044-0003ba298018;541509;120;102;102;;0;1962;;2;7;90;POINT(693196.88 6098633.46);5;6;Skånningevej 33, 4773 Stensved;1
001211e4-cb8b-45c5-8283-dce191647a8a;0a3f5087-40c5-32b8-e044-0003ba298018;2112912;210;306;;306;0;1870;;9;;;POINT(686811.04 6102396.95);5;6;Ornebjergvej 63, 4760 Vordingborg;0
0015b89a-487f-46a7-8a1e-a8535f1d7cbe;0a3f5085-a3bb-32b8-e044-0003ba298018;2476700;120;124;196;;0;1887;;5;1;;POINT(695384.26 6091330.44);5;6;Østerskovvej 10, 4793 Bogø By;1
001e41d2-ef05-47af-ae6c-29c3b7a381f5;0a3f5087-33e5-32b8-e044-0003ba298018;2111412;120;133;133;;0;1980;;2;3;;POINT(689423.9 6104023.32);5;6;Høstvej 19, 4760 Vordingborg;1
0029095b-9e9d-4029-a34a-2d39f72dc4fe;0a3f5085-8622-32b8-e044-0003ba298018;2482227;120;84;134;;0;1775;2002;2;3;;POINT(703487.72 6090819.4);5;6;Fanefjordgade 71, Askeby, 4792 Askeby;1
002a7c84-04c9-4669-a5b8-6536d2bf16a8;0a3f5087-40c1-32b8-e044-0003ba298018;2112913;110;225;225;;0;1907;;2;3;;POINT(686884.1 6102433.9);5;6;Ornebjergvej 58, 4760 Vordingborg;1
002d01f5-f2ba-4a03-98de-70502b5f5048;0a3f5085-87a7-32b8-e044-0003ba298018;2493995;510;65;65;;0;1966;;7;1;2;POINT(707198.54 6104828.98);5;6;Fyrrestien 5, Ulvshale, 4780 Stege;1
002d98fb-8568-4b45-8249-c47f9ed1ed5e;0a3f5085-9780-32b8-e044-0003ba298018;2479110;210;120;;120;0;1900;;9;;90;POINT(701311.24 6093700.17);5;6;Røddinge Husrække 3, Røddinge, 4780 Stege;0
0030b85f-785b-42e5-a8e7-36d5f598d9b0;0a3f5087-27b2-32b8-e044-0003ba298018;2118934;120;86;118;;0;1946;;1;;;POINT(685459.11 6100826.34);5;6;Birkealle 59, 4760 Vordingborg;1
00352c7b-0796-4fe0-9730-a90b44c0b7b7;0a3f5085-a21c-32b8-e044-0003ba298018;2476142;212;150;;150;0;1991;;9;;90;POINT(693307.87 6090349.67);5;6;Vesterskovvej 37, 4793 Bogø By;0
0037c5be-64fe-4391-aea4-682e92cb2b57;0a3f5086-6866-32b8-e044-0003ba298018;1314820;212;96;;96;0;1900;;9;;;POINT(693911.91 6109458.97);5;6;Lillemarksvej 2, 4720 Præstø;0
0039e3f8-88ee-40e7-81b2-97b90ef101b7;0a3f5085-a2db-32b8-e044-0003ba298018;2484902;120;155;306;;0;1870;2012;2;3;;POINT(703375.81 6089303.5);5;6;Vollerupgade 32A, Vollerup, 4792 Askeby;1
003b338e-11fa-4a37-90f2-2f42a2add1d1;0a3f5085-6014-32b8-e044-0003ba298018;544029;120;96;111;;0;1936;;2;3;2;POINT(701018.86 6099960.53);5;6;Kirkevejen 13, 4771 Kalvehave;1
003c8325-4707-4cfc-807e-5dd06f40452d;0a3f5085-5db7-32b8-e044-0003ba298018;542502;217;100;;100;0;1950;;9;;;POINT(695188.99 6104927.02);5;6;Gl Præstøvej 35, 4735 Mern;0
003f92e9-cdde-44a9-8c95-367639edc573;0a3f5087-3503-32b8-e044-0003ba298018;2112055;120;102;102;;0;1973;;1;;;POINT(685219.66 6102201.86);5;6;Kastrupvej 14A, 4760 Vordingborg;1
0041a8aa-b82a-4745-9445-7a4edf80dbec;0a3f5086-6238-32b8-e044-0003ba298018;1318719;120;77;77;;62;1940;2018;1;;;POINT(694126.72 6112419.82);5;6;Antonivej 5A, 4720 Præstø;1
0041d7ac-7d0c-40b2-86d1-a584ef20c041;0a3f5085-5fbe-32b8-e044-0003ba298018;541124;120;157;210;;0;1978;2015;7;1;1;POINT(693315.55 6098850.34);5;6;Kastanievej 46, 4773 Stensved;1
0043b3b5-f99b-4dfb-ab33-01367701d40b;0a3f5086-6a34-32b8-e044-0003ba298018;1314675;120;100;100;;0;1940;;2;3;90;POINT(693906.64 6107848.43);5;6;Mønvej 121, 4720 Præstø;1
0046a355-a21f-45b4-85b2-0687ec6ddbdc;0ea84e3c-5110-1cba-e044-0003ba298018;2667384;120;69;118;;0;2007;;1;;90;POINT(693746.75 6112401.12);5;6;Priesesstræde 4, 4720 Præstø;1
0047346f-4d63-4fb8-b697-b7b9308a5564;0a3f5087-2854-32b8-e044-0003ba298018;2112684;510;14;14;;;2002;;7;1;;POINT(680788.85 6105108.59);5;6;Bramgåsvej 10, 4760 Vordingborg;0
00482544-cb90-4468-810a-7585621e48d9;0a3f5085-8b0e-32b8-e044-0003ba298018;2476780;510;64;64;;0;1977;;7;1;;POINT(695784 6090562.63);5;6;Højdedraget 46, 4793 Bogø By;1
0048d8c1-57ed-473e-a7be-8b41b7672976;0a3f5087-3533-32b8-e044-0003ba298018;2117846;120;196;173;;0;1977;1988;1;;;POINT(687292.74 6099684.68);5;6;Keidamsvej 18, 4760 Vordingborg;1
004b2b8c-dbed-43e0-a1a1-315f76011c2a;0a3f5085-658a-32b8-e044-0003ba298018;541651;130;120;166;;18;1872;;2;3;2;POINT(693128.49 6096420.49);5;6;Stensbyvej 51A, Vestenbæk, 4773 Stensved;2
004baec4-3727-44e6-9c9c-f832850fdddf;0a3f5086-65d3-32b8-e044-0003ba298018;1315917;120;93;93;;0;1900;1975;5;1;2;POINT(687863.06 6110339.03);5;6;Hastrupvej 23, 4720 Præstø;1
004c3913-48ef-413b-b87b-0f91e3e0847f;0a3f5087-373f-32b8-e044-0003ba298018;2119412;120;143;143;;0;1964;1985;2;3;;POINT(689179.61 6098924.68);5;6;Kløften 30, 4760 Vordingborg;1
004cd0d0-7fe9-4990-ae7e-36bcafa1b5ff;0a3f5085-8afa-32b8-e044-0003ba298018;2476862;510;52;52;;0;1976;;7;1;;POINT(695701.39 6090538.37);5;6;Højdedraget 18, 4793 Bogø By;1
004f4d16-a8ab-4971-86b6-735ac6a69d7d;0a3f5087-4a7b-32b8-e044-0003ba298018;2114066;110;101;123;;0;1910;2001;7;1;;POINT(679334.45 6108371.8);5;6;Togårdsvej 7, 4750 Lundby;1
004fb8db-acce-417a-847c-968749c45583;0a3f5085-5bb1-32b8-e044-0003ba298018;539763;120;106;106;;7;1952;;2;3;2;POINT(698657.73 6102442.81);5;6;Bakkekammen 1, Balle, 4735 Mern;1
0051735c-36dc-451a-a97d-a24a9f5045e9;0a3f5087-4770-32b8-e044-0003ba298018;2118703;321;52;;52;0;1987;2003;2;3;2;POINT(685030.88 6100964.01);5;6;Stokkedrevet 11, 4760 Vordingborg;0
00523ed1-cc56-4dcd-a97e-3485654096c1;0a3f5087-4531-32b8-e044-0003ba298018;2110495;110;150;190;;0;1830;;5;1;2;POINT(689824.56 6106413.16);5;6;Skallerupvej 36, 4760 Vordingborg;1
0053f63b-65b7-43eb-bc8f-0db93dd9b687;0a3f5087-37e7-32b8-e044-0003ba298018;2115633;217;243;;243;0;1927;;9;;;POINT(680073.27 6106256.31);5;6;Koholtevej 46, 4760 Vordingborg;0
005547da-362f-4642-9f89-7c3140b0d168;0a3f5087-2494-32b8-e044-0003ba298018;2116076;120;112;113;45;0;1800;1924;1;;;POINT(685675.86 6099953.23);5;6;Algade 31, 4760 Vordingborg;1
00560f19-6f1a-4874-ab52-72d8a3a8408e;0a3f5085-6482-32b8-e044-0003ba298018;540918;120;146;146;;0;1968;;2;3;2;POINT(693615.94 6098933.77);5;6;Skyttemarksvej 32, 4773 Stensved;1
0056e4c8-e7ea-4449-85c4-f863f91be3ba;0a3f5087-2d3e-32b8-e044-0003ba298018;2114075;217;1154;;1154;0;2008;;9;;;POINT(678950.76 6107207.23);5;6;Fjordgårdsvej 2, 4750 Lundby;0
0059ef65-14f4-4f93-85ca-5b1b7b5dcedf;53279ace-c6a2-1b90-e044-0003ba298018;2113275;510;40;53;;0;1964;1989;7;1;2;POINT(678898.63 6112050.59);5;6;Kviemarken 20, 4750 Lundby;1
005b83be-5026-40d8-8f6d-bf23f9957b70;0a3f5087-37cc-32b8-e044-0003ba298018;2111522;120;95;101;;0;1900;;2;4;;POINT(690073.84 6101862.4);5;6;Kohavevej 34, 4760 Vordingborg;1
005f0523-c551-418f-8946-a03224f28408;0a3f5087-436b-32b8-e044-0003ba298018;2111850;120;144;144;;0;1975;;3;3;;POINT(684784.99 6102196.77);5;6;Rønnebærvej 16, 4760 Vordingborg;1
0061581e-f0bb-4d19-b814-2e29d8271dcb;0a3f5086-632e-32b8-e044-0003ba298018;1316571;217;150;;150;0;1915;;9;;90;POINT(701703.62 6108973.9);5;6;Bøged Strandvej 8, Bøged Strand, 4720 Præstø;0
00656df0-95ba-48fe-bda5-8925734a4456;0a3f5085-60ce-32b8-e044-0003ba298018;540744;120;89;132;;0;1827;;2;3;4;POINT(697366.81 6098018.57);5;6;Langebæk Gade 49, 4772 Langebæk;1
0067bfb7-0c80-4caf-9e83-46bcd840a7f8;0a3f5086-690b-32b8-e044-0003ba298018;1316815;510;89;89;;0;1969;1990;7;1;2;POINT(702002.23 6110587.93);5;6;Lupinvej 9B, Bønsvig Str, 4720 Præstø;1
006ad12d-d94c-4167-b4af-1ee8c8c2dcf6;0a3f5085-8d8a-32b8-e044-0003ba298018;2477527;120;112;112;;112;1959;;2;3;;POINT(720392.08 6099838.26);5;6;Klintevej 361, Borre, 4791 Borre;1
006b3604-a69e-4522-81c3-d60c8c541f95;0a3f5085-6698-32b8-e044-0003ba298018;542397;217;220;;220;0;1936;;9;;;POINT(696471.9 6106231.82);5;6;Trekanten 4, 4735 Mern;0
006ba025-3748-4f0d-8111-c05d81c9b883;0a3f5086-6b97-32b8-e044-0003ba298018;1316159;510;37;37;;0;1982;;7;1;;POINT(701827.2 6110735.36);5;6;Primulavej 10, Bønsvig Str, 4720 Præstø;1
