Fuglemosen 4, st. th ;5294893
Fuglemosen 6, st. th ;5294897
Fuglemosen 2, st. th ;5294929
Fuglemosen 6, st. tv ;5294901
Fuglemosen 8, 1. th;5294905
Fuglemosen 4, st. tv ;5294921
Fuglemosen 2, 2. th ;5294909
Fuglemosen 2, 2. tv;5294913
Fuglemosen 4, 2. tv ;5294917
Fuglemosen 2, st. tv;5294937
Fuglemosen 6, 1. tv ;5294925
Fuglemosen 8, 2. mf ;5294933
Fuglemosen 4, 1. tv ;5294945
Fuglemosen 4, 1. th;5294941
Fuglemosen 2, 1. th;5294885
Fuglemosen 2, 1. tv;5294889
Fuglemosen 8, 1. mf;5294949
Fuglemosen 6, 2. tv ;5294977
Fuglemosen 4, 2. th ;5294953
Fuglemosen 8, st. th ;5294961
Fuglemosen 8, st. tv ;5294965
Fuglemosen 8, 1. tv ;5294957
Fuglemosen 6, 2. th ;5294973
Fuglemosen 6, 1. th ;5294969
Fuglemosen 8, 2. th ;5294981
Fuglemosen 8, 2. tv ;5294985
Fuglemosen 8, st. mf ;5294989
Fuglemosen 13, 2. th ;5295089
Fuglemosen 13, 1. th ;5295085
Fuglemosen 11, st. th;5295081
Fuglemosen 13, 2. tv ;5295093
Fuglemosen 13, st. th ;5295097
Fuglemosen 13, st. tv ;5295101
Fuglemosen 15, st. th ;5295105
Fuglemosen 15, st. tv ;5295109
Fuglemosen 9, st. th ;5295129
Fuglemosen 11, st. tv;5295113
Fuglemosen 13, 1. tv ;5295117
Fuglemosen 15, 2. tv ;5295125
Fuglemosen 15, 2. th;5295121
Fuglemosen 9, 1. tv;5295153
Fuglemosen 11, 2. tv ;5295021
Fuglemosen 9, 2. th ;5295033
Fuglemosen 11, 1. tv;5295001
Fuglemosen 15, 1. tv;5295005
Fuglemosen 11, 1. th;5294993
Fuglemosen 9, 1. th ;5295029
Fuglemosen 11, 2. th ;5294997
Fuglemosen 9, st. tv;5295009
Fuglemosen 15, 1. th ;5295025
Fuglemosen 9, 2. tv;5295037
Rylemosen 11, 1. th;5296134
Rylemosen 11, 1. tv;5296138
Rylemosen 11, 2. th;5296141
Rylemosen 7, 1. tv;5296154
Rylemosen 7, 2. tv;5296146
Rylemosen 11, 2. tv;5296150
Rylemosen 11, st. th;5296158
Rylemosen 11, st. tv;5296174
Rylemosen 7, st. tv;5296178
Rylemosen 7, 2. th;5296226
Rylemosen 9, 2. th;5296230
Rylemosen 9, st. tv;5296246
Rylemosen 7, st. th;5296214
Rylemosen 7, 1. th;5296201
Rylemosen 9, 1. th;5296218
Rylemosen 9, 2. tv;5296234
Rylemosen 9, st. th;5296238
Rylemosen 9, 1. tv;5296242
Rylemosen 16, 1. th;5295958
Rylemosen 18, st. th;5295962
Rylemosen 20, 1. tv;5295966
Rylemosen 22, 2. tv;5295970
Rylemosen 26, 2. tv;5295978
Rylemosen 26, 1. th;5295974
Rylemosen 26, st. th;5295982
Rylemosen 16, 1. tv;5295986
Rylemosen 18, 1. th;5295994
Rylemosen 18, 1. tv;5296018
Rylemosen 28, 1. th;5295998
Rylemosen 16, st. tv;5295990
Rylemosen 16, st. th;5296014
Rylemosen 16, 2. tv;5296010
Rylemosen 28, 1. tv;5296002
Rylemosen 16, 2. th;5296006
Rylemosen 18, 2. th;5296022
Rylemosen 24, 1. tv;5296038
Rylemosen 20, 2. tv;5296026
Rylemosen 20, st. th;5296030
Rylemosen 22, 1. tv;5296034
Rylemosen 28, 2. mf;5296042
Rylemosen 18, 2. tv;5296046
Rylemosen 18, st. tv;5296050
Rylemosen 20, 1. th;5296054
Rylemosen 20, 2. th;5296058
Rylemosen 22, 2. th;5296062
Rylemosen 22, st. th;5296066
Rylemosen 24, 2. th;5296070
Rylemosen 24, 2. tv;5296074
Rylemosen 24, st. th;5296078
Rylemosen 22, st. tv;5296114
Rylemosen 24, st. tv;5296082
Rylemosen 26, 2. th;5296094
Rylemosen 20, st. tv;5296086
Rylemosen 22, 1. th;5296090
Rylemosen 28, 2. tv;5296102
Rylemosen 28, st. tv;5296110
Rylemosen 28, 1. mf;5296098
Rylemosen 28, st. mf;5296106
Rylemosen 24, 1. th;5296118
Rylemosen 26, 1. tv;5296122
Rylemosen 26, st. tv;5296125
Rylemosen 28, 2. th;5296130
Høgemosen 14, 1. th;5295414
Høgemosen 16, st. th;5295458
Høgemosen 14, 2. tv;5295418
Høgemosen 24, 1. tv;5295474
Høgemosen 24, 2. mf;5295478
Høgemosen 16, 2. th;5295421
Høgemosen 20, 2. tv;5295466
Høgemosen 20, 2. th;5295426
Høgemosen 24, 1. th;5295434
Høgemosen 16, 1. tv;5295498
Høgemosen 22, 1. tv;5295430
Høgemosen 24, 2. th;5295482
Høgemosen 24, 2. tv;5295438
Høgemosen 18, 1. th;5295509
Høgemosen 14, st. tv;5295494
Høgemosen 24, st. tv;5295486
