adressebetegnelse;AdresseIdentificerer;BBRenhedID;BBRbygningID
Fuglemosen 2, 1. th , 2605 Brøndby;0a3f50a3-55f0-32b8-e044-0003ba298018;c27d59c1-ff9a-426c-b22b-c1d6a51e4283;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 2, 1. tv , 2605 Brøndby;0a3f50a3-55f1-32b8-e044-0003ba298018;f25e3bed-9a1d-4e98-b238-93ebaf06a214;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 2, 2. th , 2605 Brøndby;0a3f50a3-55f2-32b8-e044-0003ba298018;a4aaeda1-5011-4f44-88e4-e3e51899791e;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 2, 2. tv , 2605 Brøndby;0a3f50a3-55f3-32b8-e044-0003ba298018;97a9eb2c-23ee-40f9-b676-e47c447ebb14;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 2, st. th , 2605 Brøndby;0a3f50a3-55ee-32b8-e044-0003ba298018;f6fea673-0752-409e-9031-2d42414897c4;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 2, st. tv , 2605 Brøndby;0a3f50a3-55ef-32b8-e044-0003ba298018;6870512e-23f4-4dba-8a70-50816761fb69;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, 1. th , 2605 Brøndby;0a3f50a3-55fc-32b8-e044-0003ba298018;2c582ab9-6b85-4af2-8f3d-c8858ecb9672;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, 1. tv , 2605 Brøndby;0a3f50a3-55fd-32b8-e044-0003ba298018;c9551a26-6018-4b59-921b-3d7ce0e69572;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, 2. th , 2605 Brøndby;0a3f50a3-55fe-32b8-e044-0003ba298018;0f650cd9-08f8-4893-b4ff-f70a308c8aa2;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, 2. tv , 2605 Brøndby;0a3f50a3-55ff-32b8-e044-0003ba298018;eb17bb76-fbca-44ba-a3e2-28d51969a2ed;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, st. th , 2605 Brøndby;0a3f50a3-55fa-32b8-e044-0003ba298018;6a2d20b7-100b-48ab-bddb-cec2c2cc0b66;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 4, st. tv , 2605 Brøndby;0a3f50a3-55fb-32b8-e044-0003ba298018;2b0b552c-2657-4df8-8a91-49701499294c;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, 1. th , 2605 Brøndby;0a3f50a3-5608-32b8-e044-0003ba298018;10877e41-57bd-4b6e-ad83-8a79eff859ae;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, 1. tv , 2605 Brøndby;0a3f50a3-5609-32b8-e044-0003ba298018;d6f6d9e8-56aa-4e05-9d44-6eb3930473ac;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, 2. th , 2605 Brøndby;0a3f50a3-560a-32b8-e044-0003ba298018;80370ec1-32e6-43da-a578-930e4ca656cd;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, 2. tv , 2605 Brøndby;0a3f50a3-560b-32b8-e044-0003ba298018;7cfd3021-9aa1-4a7a-a767-e37a15e9e31b;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, st. th , 2605 Brøndby;0a3f50a3-5606-32b8-e044-0003ba298018;187d749d-c25f-44a0-8072-f9d329a056d1;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 6, st. tv , 2605 Brøndby;0a3f50a3-5607-32b8-e044-0003ba298018;f0dc2916-ee51-4ec8-8ee5-a4df96e0b8b8;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 1. mf , 2605 Brøndby;0a3f50a3-5615-32b8-e044-0003ba298018;8431589d-83bf-4c97-9875-77165c4c3309;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 1. th , 2605 Brøndby;0a3f50a3-5616-32b8-e044-0003ba298018;fb845c82-9459-4265-abb5-90f1621a3bed;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 1. tv , 2605 Brøndby;0a3f50a3-5617-32b8-e044-0003ba298018;979d23a9-456a-4f02-b0d5-548aa4633e40;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 2. mf , 2605 Brøndby;0a3f50a3-5618-32b8-e044-0003ba298018;2fdda529-5acf-4235-b072-8dd56b03416b;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 2. th , 2605 Brøndby;0a3f50a3-5619-32b8-e044-0003ba298018;175b4eb3-9cdb-438b-abc0-7d7c2c68c683;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, 2. tv , 2605 Brøndby;0a3f50a3-561a-32b8-e044-0003ba298018;5188b4b9-c1c3-49b3-b764-16331222534d;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, st. mf , 2605 Brøndby;0a3f50a3-5612-32b8-e044-0003ba298018;467e03bb-e744-4e99-952e-797bfdd5b42c;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, st. th , 2605 Brøndby;0a3f50a3-5613-32b8-e044-0003ba298018;c392c68e-06e2-441b-9bac-5cb55f575cc9;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 8, st. tv , 2605 Brøndby;0a3f50a3-5614-32b8-e044-0003ba298018;c5e36dd6-8995-414d-9a10-4834ca63dc19;f396cefd-b30e-497a-9612-bb5aa30000a8
Fuglemosen 1, st. tv , 2605 Brøndby;0a3f50a3-55e9-32b8-e044-0003ba298018;7ac316f9-256d-479b-9edd-f0b0582d1a76;96bf7d05-53e4-47c3-9a18-8881524f8bf9
Fuglemosen 1, st. th , 2605 Brøndby;0a3f50a3-55e8-32b8-e044-0003ba298018;82242064-ba17-4ccb-acee-afca71434006;96bf7d05-53e4-47c3-9a18-8881524f8bf9
Fuglemosen 1, 1. tv , 2605 Brøndby;0a3f50a3-55eb-32b8-e044-0003ba298018;327222b4-0350-4ee9-bb05-1f0bfd137ca9;96bf7d05-53e4-47c3-9a18-8881524f8bf9
Fuglemosen 1, 1. th , 2605 Brøndby;0a3f50a3-55ea-32b8-e044-0003ba298018;19d1c859-80b9-4e84-ba08-9658f9012cd3;96bf7d05-53e4-47c3-9a18-8881524f8bf9
Fuglemosen 1, 2. tv , 2605 Brøndby;0a3f50a3-55ed-32b8-e044-0003ba298018;0f4ae0bc-8c5c-4b68-b131-e92f224b5f3d;96bf7d05-53e4-47c3-9a18-8881524f8bf9
